num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/weights_seq_no,env_runners/env_to_module_sum_episodes_length_out,env_runners/env_step_timer,env_runners/sample,env_runners/rlmodule_inference_timer,env_runners/num_env_steps_sampled,env_runners/env_to_module_sum_episodes_length_in,env_runners/num_episodes,env_runners/num_episodes_lifetime,env_runners/env_reset_timer,env_runners/num_env_steps_sampled_lifetime,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled_lifetime/default_agent,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled/default_agent,env_runners/num_module_steps_sampled/default_policy,env_runners/num_module_steps_sampled_lifetime/default_policy,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/default_policy/num_module_steps_trained_lifetime,learners/default_policy/curr_entropy_coeff,learners/default_policy/vf_explained_var,learners/default_policy/module_train_batch_size_mean,learners/default_policy/vf_loss,learners/default_policy/default_optimizer_learning_rate,learners/default_policy/diff_num_grad_updates_vs_sampler_policy,learners/default_policy/total_loss,learners/default_policy/policy_loss,learners/default_policy/num_module_steps_trained,learners/default_policy/weights_seq_no,learners/default_policy/num_trainable_parameters,learners/default_policy/entropy,learners/default_policy/mean_kl_loss,learners/default_policy/curr_kl_coeff,learners/default_policy/vf_loss_unclipped,learners/default_policy/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch
1,8000.0,False,1,0a60e_00000,2025-11-25_10-00-03,1764032403,6.595836639404297,6.595836639404297,40676,DESKTOP-M8HSDGN,172.28.117.198,6.595836639404297,1,6.589038036999682,1.866999991761986e-05,6.588742822000313,0.7994496310002432,5.782486790000348,0.005232441000316612,0.0,701.0319000139247,0.00012817167702184267,0.7278188824999688,0.00014196957313971793,8000.0,701.0319000139247,0.0,0.0,0.0004382953999993333,8000.0,nan,10,0,10,13.366666666666667,48.68888888888889,0.015555555555555557,0.0921630859375,0.00012314481636336514,8000.0,0.000335502402035265,8000.0,8000.0,8000.0,0,8000,160256,144141,10028520,10028520,8010,160256,nan,nan,160256,0.0,0.0046096444,128.0,9.484685,0.0003,1.0,-0.11785547,-0.22639337,160256,1.0,144141,8.679198,0.068455294,0.30000001192092896,1415.5953,nan,0.13803232500004015,8.13379826345117e-06,4.712497884161454e-05,2.609083926415348e-06,1.7601288364038366e-05,1.6270883566058803e-06,1.3515928176888557e-05,4.52611121818419e-05,0.00013310228273199544,5.213730225309591e-05,1.7432301737779705e-06,2.3486511146195108e-05,0.05683338199969512,0.0006938219999028661,1.9176000023435336e-05,0.04302902699964761,0.03391237599998931,0.003002014999765379,8.245000117312884e-06,7.567200009361841e-05
1,16000.0,False,2,0a60e_00000,2025-11-25_10-00-10,1764032410,6.532434463500977,13.128271102905273,40676,DESKTOP-M8HSDGN,172.28.117.198,13.128271102905273,2,6.588404657789683,1.8760609918899718e-05,6.588107930710311,0.7992871835802406,5.782026530410344,0.005223465940316601,1.0,501.73378308638775,0.0001321376491267016,0.7277755469969698,0.00014651190823953224,8000.0,501.73378308638775,10.0,10.0,0.0004382953999993333,16000.0,1211.6289794036609,10,0,10,14.422222222222224,48.87777777777777,0.010000000000000002,0.0921630859375,0.00012511364096057665,16000.0,0.00034649159339914475,8000.0,8000.0,16000.0,0,8000.0,160512,144141,20085600,10057080,8010.099999999999,320768,nan,nan,320768,0.0,0.022692263,128.0,9.5866585,0.0003,1.0,0.06586288,-0.04924857,160512,2.0,144141,8.630923,0.06414952,0.45000001788139343,1110.6525,nan,0.1379479357700393,8.162162885768601e-06,4.8503508668922406e-05,2.5576986431524146e-06,1.7622437116371787e-05,1.6936152621715086e-06,1.3911485789472492e-05,4.670291874736763e-05,0.00013766140574180322,5.449293083277845e-05,1.798802360197295e-06,2.388139014064599e-05,0.05681051538969768,0.0006895798099048988,1.9137380022584693e-05,0.04306044613965241,0.03382618219998676,0.003001771809767888,8.209570119106502e-06,7.602446009514097e-05
1,24000.0,False,3,0a60e_00000,2025-11-25_10-00-17,1764032417,6.696631669998169,19.824902772903442,40676,DESKTOP-M8HSDGN,172.28.117.198,19.824902772903442,3,6.589411296881787,1.870403381644792e-05,6.589114168663206,0.7993407727744369,5.782994021896243,0.0052090128909124365,2.0,308.3178243051176,0.00012423216602884584,0.7278004662340003,0.0001395277317014975,8000.0,308.3178243051176,10.0,20.0,0.0004382953999993333,24000.0,1211.9300086802386,10,0,10,13.7,48.89,0.009,0.09210205078125,0.00012086382671376384,24000.0,0.0003326030616901586,8000.0,8000.0,24000.0,0,8000.0,160512,144141,30142680,10057080,8010.199,481280,1498337.0088780862,23913.422814990485,481280,0.0,-0.2929405,128.0,9.551498,0.0003,1.0,0.07632846,-0.040422287,160512,3.0,144141,8.678362,0.047190562,0.675000011920929,652.5965,23913.479162361917,0.13871229505233848,8.024494613771144e-06,4.660797103619864e-05,2.468283767117187e-06,1.6814973210162732e-05,1.6280730549878859e-06,1.3240073863688949e-05,4.4673999041901504e-05,0.00013241264500525867,5.2152649424482145e-05,1.7799376145281424e-06,2.3064489774600316e-05,0.05680145485580015,0.0006851952018062547,1.911075622174394e-05,0.04390380026825578,0.03376196665798802,0.003002722511666707,8.17205441940132e-06,7.628962549124482e-05
1,32000.0,False,4,0a60e_00000,2025-11-25_10-00-23,1764032423,6.531386375427246,26.35628914833069,40676,DESKTOP-M8HSDGN,172.28.117.198,26.35628914833069,4,6.5887656026729715,1.8648233477347277e-05,6.588467658516574,0.7995811619566916,5.782124399287277,0.005192455671999931,3.0,180.84650118641164,0.00013592026321796168,0.7280186134946608,0.00015736795614420138,8000.0,180.84650118641164,10.0,30.0,0.0004382953999993333,32000.0,1210.6571730023506,10,0,10,15.3625,48.8125,0.005,0.092041015625,0.00013166967199114426,32000.0,0.0003652842751918339,8000.0,8000.0,32000.0,0,8000.0,160512,144141,40199760,10057080,8010.297009999999,641792,1500073.8555910413,23941.156953812755,641792,0.0,-0.11575043,128.0,9.638159,0.0003,1.0,0.058031105,-0.06696935,160512,4.0,144141,8.5997305,0.042398322,1.0125000476837158,722.7471,23941.209578391397,0.13873381955181327,8.89287093021666e-06,5.0733187545133303e-05,2.706771494550875e-06,1.8283047886275624e-05,1.7531343214448891e-06,1.4222236208158903e-05,4.890986709279885e-05,0.0001465548567725765,5.722786250830412e-05,1.934422286487247e-06,2.5299777995978597e-05,0.05679423315723883,0.000680929099790298,1.9085718658594485e-05,0.0439162945855717,0.03378366768140769,0.003003369416552848,8.152573871830555e-06,7.659714923487355e-05
1,40000.0,False,5,0a60e_00000,2025-11-25_10-00-36,1764032436,12.9279203414917,39.28420948982239,40676,DESKTOP-M8HSDGN,172.28.117.198,39.28420948982239,5,6.5884999090962415,1.8590931145233072e-05,6.588201792761409,0.7997114322971239,5.781722123264406,0.005192881345278342,4.0,701.0901728008555,0.0001373776662817357,0.728039830073715,0.0001585328187994481,8000.0,701.0901728008555,10.0,40.0,0.0004382953999993333,40000.0,1211.3230599965505,10,0,10,11.905555555555557,48.82222222222222,0.01888888888888889,0.1000094943576389,0.0001322852546465759,40000.0,0.0003655647665877818,8000.0,8000.0,40000.0,0,8000.0,160256,144141,50228280,10028520,8010.2940399,802048,1501252.4462433958,23961.489385083096,802048,0.0,-0.9078318,128.0,7.8415585,0.0003,1.0,0.03234125,-0.07613981,160256,5.0,144141,8.591195,0.029694293,1.5187500715255737,380.41077,23961.54202002228,0.13965355217629266,8.878726929764054e-06,5.159562639198949e-05,2.774334227586475e-06,1.8318257931958096e-05,1.7826653795228872e-06,1.4312607555937742e-05,4.8826383784977854e-05,0.00014818755068047443,5.723295505541501e-05,1.8958142344761256e-06,2.464231559951924e-05,0.056832271345665764,0.0006767561787922861,1.9073121474039122e-05,0.044817931209714106,0.03377209067459419,0.0030017289623916533,8.111998132059576e-06,7.649805774313303e-05
1,48000.0,False,6,0a60e_00000,2025-11-25_10-00-44,1764032444,7.492438077926636,46.77664756774902,40676,DESKTOP-M8HSDGN,172.28.117.198,46.77664756774902,6,6.59746640648528,1.8523941835804258e-05,6.5971684217437945,0.8000659525041568,5.790350425141764,0.005179391621824533,5.0,701.255547876676,0.00012176137152184797,0.7280666094109784,0.00013627500484122648,8000.0,701.255547876676,0.0,40.0,0.0004382953999993333,48000.0,1181.5224318904523,10,0,10,20.06,48.92,0.033,0.10341796875,0.00011707653819822053,48000.0,0.0003230453556621772,8000.0,8000.0,48000.0,0,8000.0,160256,144141,60256800,10028520,8010.291099501001,962304,1462251.9000993953,23339.68385261113,962304,0.0,-0.83077276,128.0,8.035965,0.0003,1.0,0.14134562,0.02134103,160256,6.0,144141,8.776354,0.02610366,2.278125047683716,643.5662,23339.73571260246,0.1399408570145311,7.899939724112328e-06,4.582271593189361e-05,2.4663528516575533e-06,1.629758762703074e-05,1.5029801428823693e-06,1.2996959726927266e-05,4.356913852427332e-05,0.00012903690039981172,5.09052609201582e-05,1.7349188655339156e-06,2.240739607801993e-05,0.05694582817221133,0.0006782680070035517,1.9061020257416417e-05,0.0449175522276174,0.033848487627848506,0.0030003468727689267,8.076538149898377e-06,7.643109716441004e-05
1,56000.0,False,7,0a60e_00000,2025-11-25_10-00-51,1764032451,6.8058366775512695,53.58248424530029,40676,DESKTOP-M8HSDGN,172.28.117.198,53.58248424530029,7,6.599476530820427,1.8464562414288553e-05,6.599177839296353,0.8000366934491161,5.792403194010347,0.005164264685605897,6.0,501.73385443008704,0.00013703268057320905,0.7282346942798694,0.00015963932297772434,8000.0,501.73385443008704,10.0,50.0,0.0004382953999993333,56000.0,1175.9505896305245,10,0,10,14.529999999999998,49.0,0.017,0.10369873046875,0.00013222458686487366,56000.0,0.0003678379334599839,8000.0,8000.0,56000.0,0,8000.0,160512,144141,70313880,10057080,8010.38818850599,1122816,1462797.9801514307,23348.270291905275,1122816,0.0,-0.085276246,128.0,8.062089,0.0003,1.0,0.0874479,-0.03333586,160512,7.0,144141,8.672891,0.017629785,2.278125047683716,491.97073,23348.323848112082,0.14078821737438502,8.873658334020143e-06,5.119266004141612e-05,2.8684066476144796e-06,1.8308595539799873e-05,1.8246179438748678e-06,1.4198980697960979e-05,4.9048907883417325e-05,0.0001487878303416233,5.741450344259318e-05,1.960094354877226e-06,2.5067600245175367e-05,0.056936308480488765,0.0006740367069363582,1.9039090053593284e-05,0.0458167656853412,0.033810485471569326,0.003002374744038285,8.03944276586647e-06,7.681004618951795e-05
1,64000.0,False,8,0a60e_00000,2025-11-25_10-00-57,1764032457,6.60857629776001,60.1910605430603,40676,DESKTOP-M8HSDGN,172.28.117.198,60.1910605430603,8,6.599493755272222,1.8405736791958493e-05,6.59919442131339,0.8002594530746262,5.79221087730024,0.00515083897875164,7.0,308.31782432787617,0.00012482082228691932,0.7283611459450711,0.0001386190073057356,8000.0,308.31782432787617,10.0,60.0,0.0004382953999993333,64000.0,1175.5094266708995,10,0,10,14.555555555555559,49.0,0.024444444444444446,0.09809027777777778,0.00012039802842413836,64000.0,0.00033238820647376336,8000.0,8000.0,64000.0,0,8000.0,160512,144141,80370960,10057080,8010.48430662093,1283328,1465481.1850231402,23391.011530725544,1283328,0.0,-0.06522536,128.0,8.435975,0.0003,1.0,-0.081485875,-0.2104655,160512,8.0,144141,8.579984,0.01958623,2.278125047683716,330.1485,23391.077980677743,0.14066770854064223,7.914097902568736e-06,4.655864115399854e-05,2.469941489966389e-06,1.668942413676325e-05,1.602108735269222e-06,1.3300582339131338e-05,4.5147471780536526e-05,0.0001315583011317856,5.1991812625426555e-05,1.7814240090582921e-06,2.3028397915249813e-05,0.05689942996568724,0.0006703598498698977,1.8995339152969066e-05,0.04576065846848894,0.03378903988685085,0.0030023934766004235,7.999098337578045e-06,7.70817657269006e-05
1,72000.0,False,9,0a60e_00000,2025-11-25_10-01-04,1764032464,6.813626050949097,67.0046865940094,40676,DESKTOP-M8HSDGN,172.28.117.198,67.0046865940094,9,6.601565906229502,1.8347959425534522e-05,6.601266570680258,0.8001880407138803,5.794356700757237,0.0051429389989606465,8.0,180.84650118641872,0.00012943678403015278,0.7283799499306203,0.00014780428355802677,8000.0,180.84650118641872,10.0,70.0,0.0004382953999993333,72000.0,1177.3316453549558,10,0,10,14.544444444444443,49.0,0.04111111111111111,0.10032823350694445,0.00012541069824932471,72000.0,0.00034825145978893603,8000.0,8000.0,72000.0,0,8000.0,160512,144141,90428040,10057080,8010.57946355472,1443840,1465782.1650138958,23395.739410688664,1443840,0.0,-0.098727226,128.0,8.169974,0.0003,1.0,0.038332716,-0.08569044,160512,9.0,144141,8.517826,0.018578172,2.278125047683716,478.00723,23395.78379086522,0.1415279120252317,8.20815982342796e-06,4.852662581535989e-05,2.624375785096096e-06,1.7312164425357633e-05,1.660684947270952e-06,1.3793808041538975e-05,4.691929418915469e-05,0.00013851411104056507,5.4632233501554146e-05,1.7949081045885157e-06,2.4236523368782157e-05,0.05687179578603108,0.0006667664413715692,1.8972215761565e-05,0.04660613870380254,0.033836587977980136,0.003002933351835205,7.96225735716855e-06,7.735189807060163e-05
1,80000.0,False,10,0a60e_00000,2025-11-25_10-01-17,1764032477,12.96951150894165,79.97419810295105,40676,DESKTOP-M8HSDGN,172.28.117.198,79.97419810295105,10,6.599138840117208,1.829718983298707e-05,6.598839315273453,0.8003301808767398,5.791803104059662,0.005128847048969778,9.0,701.0901728008555,0.00012609791729703562,0.7284017996983132,0.00014114608778697033,8000.0,701.0901728008555,10.0,80.0,0.0004382953999993333,80000.0,1176.8054714250648,10,0,10,12.183333333333334,49.02222222222222,0.005000000000000001,0.09556749131944445,0.0001208032137736195,80000.0,0.00033396642255361785,8000.0,8000.0,80000.0,0,8000.0,160256,144141,100456560,10028520,8010.573668919173,1604096,1470978.1131503826,23480.16711243353,1604096,0.0,-0.1361922,128.0,8.342398,0.0003,1.0,-0.046496183,-0.17079844,160256,10.0,144141,8.572645,0.01794383,2.278125047683716,375.08664,23480.200972362407,0.1414439292649786,8.076275047356043e-06,4.6788587278961864e-05,2.4727919044375286e-06,1.68265653171893e-05,1.590727880136795e-06,1.3323820647181306e-05,4.502234351723826e-05,0.000132652264962493,5.2361416273454755e-05,1.7481897433127083e-06,2.3101159898061268e-05,0.05688945603817125,0.0006626840569568924,1.894372360418007e-05,0.04654675257676104,0.033802327978200285,0.0030015324883164557,7.924564781275244e-06,7.728695909061456e-05
